CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Sainte-Marie-Saint-Raphaël,1315033,820,-6.7,433,395,15.84,51.8
Lamèque,1315032,1301,1.2,606,577,12.4,104.9
Shippagan,1315031,2672,3.6,1274,1197,9.96,268.3
Le Goulet,1315030,749,-5.5,339,321,5.4,138.6
Shippagan,1315029,4781,-0.4,2663,2248,204.52,23.4
Caraquet,1315028,4285,0.9,2150,1988,68.13,62.9
Bas-Caraquet,1315027,1311,0.5,687,616,30.93,42.4
Caraquet,1315026,1261,-5.7,659,602,109.32,11.5
Inkerman,1315024,2373,0.3,1162,1035,107.63,22
Saint-Isidore,1315022,810,6,387,364,22.94,35.3
Saint-Isidore,1315021,1312,-3.6,643,608,173.14,7.6
Paquetville,1315020,718,-0.3,359,324,9.26,77.5
Paquetville,1315019,2250,-3.4,1145,1044,220.42,10.2
Saint-Léolin,1315017,615,-4.9,330,305,19.73,31.2
New Bandon,1315016,1200,-1.2,714,583,359.28,3.3
Beresford,1315015,4294,0.1,2225,2013,19.24,223.2
Petit-Rocher,1315014,1954,3,963,890,4.52,432.2
Pointe-Verte,1315013,865,-2.4,433,400,13.76,62.9
Beresford,1315012,6226,-0.4,2785,2672,455.61,13.7
Bathurst,1315011,12157,2.2,6445,5824,91.62,132.7
Pabineau 11,1315010,133,-0.7,64,58,4.92,27
Bathurst,1315008,4761,-0.8,2293,2103,1502.74,3.2
Allardville,1315006,1949,-4.1,919,878,654.6,3
Tracadie,1315002,16043,-0.4,7539,7113,516.55,31.1
Indian Ranch,1314026,134,50.6,49,49,0.58,232.2
Belledune,1314025,1325,-6.5,782,688,189.18,7
Saint-Quentin,1314022,2141,-2.4,1015,976,4.24,504.7
Saint-Quentin,1314021,1504,-1.8,688,633,2474.01,0.6
Kedgwick,1314020,1986,1.1,951,913,649.36,3.1
Dalhousie,1314017,3223,3.1,1678,1523,15.12,213.1
Eldon,1314016,674,0.3,369,335,1688.58,0.4
Tide Head,1314015,951,1.4,433,419,19.34,49.2
Campbellton,1314014,7047,2.4,3531,3254,18.57,379.5
Atholville,1314013,3290,-7.8,1550,1490,119.58,27.5
Addington,1314012,698,6.4,354,326,933,0.7
Eel River Crossing,1314011,1844,-5.6,887,839,65.26,28.3
Eel River 3,1314010,342,4,157,149,1.45,235.9
Dalhousie,1314008,1090,2.2,551,497,62.62,17.4
Balmoral,1314006,1603,-4.2,713,687,43.33,37
Balmoral,1314005,309,11.2,131,121,1088.01,0.3
Charlo,1314004,1323,1,724,632,31.45,42.1
Colborne,1314003,266,17.2,162,135,753.38,0.4
Durham,1314001,950,-11.7,563,499,409.78,2.3
Lac Baker,1313037,685,-0.7,459,336,37.24,18.4
Haut-Madawaska,1313031,3720,0.2,1781,1658,611.55,6.1
Madawaska,1313028,0,-100,0,0,173.42,0
Edmundston,1313027,16437,-0.9,8117,7707,106.84,153.8
Saint-Jacques,1313024,1652,3.5,755,713,298.44,5.5
Saint-Joseph,1313022,1549,0.7,723,674,321.42,4.8
St. Basile 10,1313020,369,72.4,184,180,3.07,120.4
Saint-Basile,1313018,736,24.3,342,324,129.96,5.7
Rivière-Verte,1313015,657,-7.6,324,309,715.72,0.9
Rivière-Verte,1313014,744,2.8,373,359,6.91,107.7
Sainte-Anne-de-Madawaska,1313012,891,-6.9,436,415,8.97,99.4
Sainte-Anne,1313011,936,-2.9,453,435,368.76,2.5
Notre-Dame-de-Lourdes,1313008,253,-8,117,110,186.3,1.4
Saint-Léonard,1313006,1322,1.7,625,567,5.34,247.8
Saint-Léonard,1313004,858,-12,380,362,344.85,2.5
Saint-André,1313002,1794,-5.6,782,756,136.19,13.2
Drummond,1312023,729,-1.1,350,335,8.88,82.1
Drummond,1312021,2095,-2.9,899,867,1013.66,2.1
Grand Falls / Grand-Sault,1312019,5220,-2,2639,2495,18.04,289.3
Grand Falls,1312016,1077,-2.9,488,451,158.09,6.8
Denmark,1312014,1424,-3.2,677,621,751.08,1.9
Lorne,1312011,313,-32.5,337,172,1632.21,0.2
Plaster Rock,1312009,1002,-2.1,515,476,3.01,332.9
Gordon,1312008,1559,4.4,776,694,1430.19,1.1
Tobique 20,1312007,1080,11.6,478,409,24.98,43.2
Perth-Andover,1312006,1574,-1,785,744,8.96,175.6
Perth,1312004,1047,-3.2,560,473,318.1,3.3
Aroostook,1312002,313,2.3,163,148,2.23,140.2
Andover,1312001,879,-1.3,387,364,123.42,7.1
Wicklow,1311031,1591,-6.2,678,645,195.5,8.1
Bath,1311030,440,-7.6,223,192,2,220
Kent,1311028,1966,-8.7,906,853,839.76,2.3
Florenceville-Bristol,1311027,1573,-1.9,729,681,15.74,100
Aberdeen,1311026,812,4,468,384,444.88,1.8
Peel,1311024,1198,0.2,508,485,112.74,10.6
Simonds,1311021,514,8.7,220,217,75.57,6.8
Centreville,1311019,508,-8.8,263,254,2.67,190.4
Wilmot,1311018,969,-5.2,412,397,191.4,5.1
Wakefield,1311014,2722,-1.6,1191,1136,196.31,13.9
Hartland,1311012,933,-2.5,390,374,9.5,98.2
Brighton,1311011,1596,-8,773,675,509.3,3.1
Northampton,1311008,1875,8.8,766,725,243.31,7.7
Woodstock,1311006,5553,6.2,2622,2486,14.96,371.1
Woodstock 23,1311005,435,33,182,173,1.8,242.2
Woodstock,1311004,2219,1.9,936,886,194.83,11.4
Richmond,1311001,1456,11.7,598,557,258.8,5.6
Nackawic,1310054,962,2.2,451,428,7.68,125.2
Stanley,1310037,397,-3.6,182,164,16.93,23.5
Stanley,1310036,920,10.6,433,388,1218.38,0.8
Devon 30,1310034,1070,3.1,365,355,2.72,393.4
Fredericton,1310032,63116,7.5,29892,28478,133.93,471.3
Saint Marys,1310031,5084,5.1,2030,1954,751.9,6.8
Douglas,1310028,5935,4.1,2357,2270,1443.31,4.1
Bright,1310026,3317,0.9,1477,1348,403.73,8.2
Millville,1310025,274,0.4,145,135,12.14,22.6
Southampton,1310024,1497,0.9,699,641,446.85,3.4
Queensbury,1310021,1237,5.4,579,536,294.35,4.2
Kingsclear 6,1310019,518,5.1,209,195,3.79,136.6
Kingsclear,1310018,2839,0.6,1104,1086,150.11,18.9
Hanwell,1310017,4743,0.9,1887,1799,152.06,31.2
Prince William,1310016,1083,16.5,648,479,284.39,3.8
Dumfries,1310014,420,18,304,208,298.51,1.4
Meductic,1310013,180,-16.3,93,83,6.26,28.7
Canterbury,1310012,320,-4.8,142,135,5.32,60.2
Canterbury,1310011,552,5.1,419,248,550.7,1
North Lake,1310008,282,21,383,160,439.6,0.6
McAdam,1310007,61,-16.4,45,32,534.77,0.1
McAdam,1310006,1173,1.9,600,534,14.19,82.7
Harvey,1310005,402,12.3,176,171,2.46,163.5
Manners Sutton,1310004,1920,8,1067,861,524.75,3.7
New Maryland,1310002,4153,-0.5,1550,1529,21.25,195.4
New Maryland,1310001,2806,7.7,1057,1042,375.02,7.5
Miramichi,1309050,17692,0.9,8484,7990,178.98,98.8
Tabusintac 9,1309047,20,100,10,7,22.11,0.9
Esgenoôpetitj 14,1309044,1223,3.7,472,456,9.55,128
Neguac,1309038,1692,0.5,781,721,26.72,63.3
Alnwick,1309036,3615,-0.7,1852,1620,668.84,5.4
Eel Ground 2,1309035,545,2.4,235,231,10.9,50
Big Hole Tract 8 (South Half),1309034,16,-30.4,16,8,15.14,1.1
Big Hole Tract 8 (North Half),1309033,30,20,15,15,12.72,2.4
Newcastle,1309031,1149,1.1,529,481,578.7,2
Northesk,1309028,2169,-4.2,1069,970,3346.76,0.6
Upper Miramichi,1309027,2175,-1.9,1187,958,1832.97,1.2
Southesk,1309026,1666,-1.7,813,720,2462.6,0.7
Red Bank 4,1309023,400,29.4,196,188,16.09,24.9
Doaktown,1309022,808,2,430,391,29.09,27.8
Blissfield,1309021,491,8.9,256,224,1235.57,0.4
Blackville,1309019,914,-4.6,446,394,20.97,43.6
Blackville,1309018,1996,-1.6,970,826,823.93,2.4
Rogersville,1309017,1193,2.3,576,544,7.19,165.9
Rogersville,1309016,1072,-2.7,538,490,326.27,3.3
Nelson,1309014,929,-2.4,433,395,353.68,2.6
Derby,1309011,938,-3.9,450,415,61,15.4
Renous 12,1309010,10,100,3,3,0.16,63.9
Chatham,1309006,527,3.1,269,233,22.7,23.2
Glenelg,1309004,1532,-1.8,729,655,504.78,3
Hardwicke,1309001,2203,0.1,1181,1010,275.95,8
Carleton,1308026,764,7.9,413,359,435.23,1.8
Acadieville,1308024,752,6.1,381,335,332.08,2.3
Saint-Louis de Kent,1308022,981,14.6,452,424,1.98,494.6
Saint-Louis,1308021,1760,-2.3,797,748,258.65,6.8
Indian Island 28,1308020,116,-24.2,46,45,0.4,288.8
Saint-Charles,1308019,2024,1.4,1025,916,175.07,11.6
Richibucto,1308018,1411,11.5,704,649,11.9,118.6
Rexton,1308017,874,5.3,446,396,6.29,138.9
Richibucto,1308016,2085,11.4,1162,947,249.21,8.4
Richibucto 15,1308015,2062,6.2,787,765,15.38,134.1
Weldford,1308014,1335,0.2,720,620,607.56,2.2
Huskisson,1308012,5,-66.7,8,5,369.31,0
Harcourt,1308010,346,0,237,170,1169.2,0.3
Saint-Paul,1308008,877,4.2,383,369,228.41,3.8
Saint-Antoine,1308007,1791,3.3,779,743,6.32,283.6
Saint Mary,1308006,1991,1,956,868,238.32,8.4
Bouctouche,1308005,2513,6.4,1188,1094,18.33,137.1
Wellington,1308004,3292,6.9,1747,1455,184.8,17.8
Buctouche 16,1308003,101,5.2,44,44,0.38,266.6
Cocagne,1308002,2757,4.1,1430,1214,69.23,39.8
Dundas,1308001,4332,10.7,2569,1908,172.32,25.1
Shediac,1307052,7535,13.1,3447,3293,64,117.7
Dieppe,1307045,28114,10.8,11993,11570,77.02,365
Petitcodiac,1307029,1476,6.7,630,609,17.18,85.9
Salisbury,1307028,2387,4.5,996,972,13.56,176.1
Salisbury,1307024,3377,-0.3,1432,1353,874,3.9
Moncton,1307022,79470,10.5,37318,35118,140.67,564.9
Moncton,1307019,10704,9.1,4291,4190,564.16,19
Shediac,1307016,5144,7.4,2976,2302,178.79,28.8
Fort Folly 1,1307014,36,-10,22,21,0.55,65.2
Memramcook,1307013,5029,5.3,2147,2081,186.64,26.9
Dorchester,1307012,906,-17.3,221,207,5.71,158.7
Dorchester,1307011,438,2.1,207,196,90.13,4.9
Sackville,1307009,6099,14.4,3047,2689,73.91,82.5
Sackville,1307008,1204,1.9,549,497,578.9,2.1
Cap-Pelé,1307007,2441,0.7,1144,1011,22.96,106.3
Beaubassin East / Beaubassin-est,1307005,6718,5.4,3368,2855,291.02,23.1
Botsford,1307004,1120,5.9,978,546,304.62,3.7
Port Elgin,1307002,381,-6.6,170,161,2.65,144
Westmorland,1307001,997,9.8,570,419,173.27,5.8
Hillsborough,1306025,1348,5.6,590,559,12.81,105.2
Riverview,1306020,20584,4.7,8797,8651,34.1,603.7
Coverdale,1306014,4766,6.7,1919,1868,236,20.2
Hillsborough,1306011,1397,6.8,656,612,304.03,4.6
Elgin,1306008,1064,19.3,610,485,519.54,2
Alma,1306007,5,0,5,3,222.74,0
Alma,1306006,282,32.4,196,130,47.64,5.9
Harvey,1306004,358,7.5,239,183,276.85,1.3
Riverside-Albert,1306003,348,-0.6,154,142,3.39,102.8
Hopewell,1306001,597,-7.7,310,280,149.14,4
Quispamsis,1305057,18768,2.9,6985,6855,56.97,329.4
Rothesay,1305045,11977,2.7,5007,4873,34.59,346.2
Greenwich,1305038,1126,6.4,579,500,114.56,9.8
Kars,1305036,377,16,291,167,75.54,5
Springfield,1305034,1641,7.6,797,653,248.53,6.6
Studholm,1305031,3527,0.1,1480,1386,448.98,7.9
Havelock,1305028,1042,-1.8,522,442,349.22,3
Cardwell,1305026,1401,3.5,721,620,311.87,4.5
Waterford,1305024,491,4.7,255,208,221.27,2.2
Sussex Corner,1305023,1458,-0.2,674,653,9.32,156.4
Sussex,1305022,4440,3.7,2219,2065,8.9,498.9
Sussex,1305021,2579,2.5,1094,1052,243.99,10.6
Norton,1305018,1410,2,578,547,75.35,18.7
Norton,1305016,1325,1.8,550,529,144.77,9.2
Grand Bay-Westfield,1305015,4967,0.1,2031,1965,59.82,83
Kingston,1305014,3202,9.9,1631,1354,200.41,16
Westfield,1305011,2114,7.7,970,878,295.34,7.2
Rothesay,1305008,342,5.2,134,128,7.26,47.1
Hampton,1305007,4395,2.5,1804,1740,20.97,209.6
Hampton,1305006,2969,5.7,1216,1165,121.24,24.5
Upham,1305004,1357,6.9,586,554,189.21,7.2
Hammond,1305001,276,10,159,130,244.24,1.1
Chipman,1304025,1201,8.8,647,605,19,63.2
Chipman,1304024,853,-6.6,504,421,483.45,1.8
Minto,1304022,2234,-3.1,1145,1043,31.36,71.2
Canning,1304021,1028,11.3,850,511,173.25,5.9
Waterborough,1304018,903,6.6,661,419,443.16,2
Brunswick,1304016,224,10.3,193,111,703.2,0.3
Johnston,1304014,638,13.9,384,294,360.87,1.8
Cambridge-Narrows,1304013,715,27.2,629,345,106.79,6.7
Cambridge,1304011,684,5.7,478,287,113.17,6
Wickham,1304008,409,-4.2,383,203,160.54,2.5
Hampstead,1304006,288,4,167,130,212.39,1.4
Gagetown,1304005,787,10.7,341,315,49.32,16
Gagetown,1304004,324,4.2,149,144,234.58,1.4
Petersville,1304001,710,4.3,323,305,589.95,1.2
Northfield,1303018,577,-6.9,286,262,303.27,1.9
Maugerville,1303016,1772,-3.2,726,711,919.94,1.9
Sheffield,1303014,888,9.8,499,392,271.29,3.3
Oromocto 26,1303013,295,4.6,111,108,1.18,249.6
Oromocto,1303012,9045,-1.9,3897,3663,22.36,404.5
Burton,1303011,5176,1.1,2074,2002,258.39,20
Lincoln,1303008,7519,4.8,3152,3088,159.44,47.2
Fredericton Junction,1303006,719,2.1,304,292,23.85,30.1
Tracy,1303005,610,0.3,258,251,29.44,20.7
Gladstone,1303004,486,7.5,227,204,362.08,1.3
Blissville,1303001,777,-5.1,369,337,341.74,2.3
Grand Manan,1302052,2595,10,1408,1179,150.56,17.2
Dumbarton,1302044,346,3.3,182,158,373.2,0.9
Saint David,1302042,1470,-3.9,725,639,190.39,7.7
Saint James,1302039,1024,-13.7,499,451,552.9,1.9
St. Stephen,1302037,4510,2.2,2278,2073,13.72,328.7
Saint Stephen,1302034,1671,-9.1,772,704,102.83,16.3
Dufferin,1302031,565,-1.4,265,243,12.34,45.8
Saint Croix,1302028,648,-1.4,346,280,78.6,8.2
Saint Andrews,1302026,2048,14.7,1096,921,8.35,245.3
Saint Andrews,1302024,550,-0.5,296,249,24.27,22.7
Saint Patrick,1302021,710,3,408,326,236.59,3
St. George,1302018,1579,4.1,751,698,16.17,97.7
Saint George,1302016,2495,6.6,1224,1046,500.05,5
Clarendon,1302014,66,4.8,64,40,492.11,0.1
Blacks Harbour,1302012,907,1.5,421,385,9.02,100.6
Pennfield,1302011,2222,2.4,1029,948,363.75,6.1
Lepreau,1302008,803,13.6,492,385,209.52,3.8
West Isles,1302006,718,-9.9,475,344,38.32,18.7
Campobello Island,1302004,949,8.8,612,423,39.59,24
Grand Manan,1302001,139,-4.1,106,68,5.96,23.3
Musquash,1301016,1253,4.9,594,531,233.06,5.4
Saint John,1301006,69895,3.4,33908,31825,315.59,221.5
Simonds,1301004,3913,1.8,1671,1588,281.06,13.9
St. Martins,1301002,320,15.9,194,157,2.35,136.1
Saint Martins,1301001,1177,4,597,533,629,1.9
"Victoria, Subd. A",1218006,2673,4.1,1788,1217,1603.85,1.7
Wagmatcook 1,1218003,691,28.7,210,201,3.72,185.8
"Victoria, Subd. B",1218001,4077,2.3,2755,1862,1228.63,3.3
Cape Breton,1217030,93694,-0.6,46471,42316,2419.7,38.7
Eskasoni 3,1217020,3521,2.9,1138,1081,36.03,97.7
Membertou 28B,1217008,1103,8.7,411,402,1.48,745.7
Chapel Island 5,1216014,405,-20,147,139,5.62,72.1
"Richmond, Subd. B",1216011,1610,6.5,1287,792,646.26,2.5
"Richmond, Subd. A",1216006,3763,-0.9,2104,1733,464.88,8.1
"Richmond, Subd. C",1216001,3136,-0.4,1692,1436,129.32,24.2
"Inverness, Subd. A",1215011,5207,2.6,3257,2395,2017.79,2.6
Whycocomagh 2,1215008,877,5.5,278,267,7.48,117.3
"Inverness, Subd. B",1215006,4865,-1.3,2688,2162,751.9,6.5
Malagawatch 4,1215005,20,0,22,22,6.69,3
Port Hawkesbury,1215002,3210,-0.1,1523,1415,8.1,396.3
"Inverness, Subd. C",1215001,3167,0,1969,1432,1025.65,3.1
Paqtnkek-Niktuek No. 23,1214010,372,5.4,143,135,2.71,137
"Antigonish, Subd. B",1214006,6138,-2.7,2849,2597,522.29,11.8
Antigonish,1214002,4656,6.7,2675,2205,4.98,934.5
"Antigonish, Subd. A",1214001,8963,8.3,4478,3774,926.43,9.7
Mulgrave,1213008,627,-13.2,316,292,17.83,35.2
Guysborough,1213004,4585,-1.8,3043,2220,2115.25,2.2
St. Mary's,1213001,2161,-3.2,1538,1047,1904.08,1.1
Merigomish Harbour 31,1212023,0,,0,0,0.23,0
Fisher's Grant 24,1212019,449,-7.4,158,153,1.54,291.4
Trenton,1212016,2407,-2.7,1167,1091,6.07,396.7
New Glasgow,1212014,9471,4.4,4782,4445,9.96,951.3
"Pictou, Subd. C",1212011,8386,-0.7,4470,3717,1254.87,6.7
Stellarton,1212009,4007,-4.8,2017,1881,8.99,445.6
Westville,1212008,3540,-2.4,1660,1567,14.24,248.6
"Pictou, Subd. B",1212006,6137,-0.6,2817,2629,770.57,8
Pictou,1212004,3107,-2.5,1600,1452,7.99,388.7
"Pictou, Subd. A",1212001,6153,1.3,3739,2800,769.64,8
"Cumberland, Subd. D",1211014,4283,3.1,3322,2020,1052.9,4.1
Oxford,1211012,1170,-1.7,576,533,10.68,109.6
Amherst,1211011,9404,-0.1,4799,4480,12.07,779.4
"Cumberland, Subd. C",1211009,5694,8.1,4111,2523,896.22,6.4
"Cumberland, Subd. B",1211006,6786,-1.1,3448,2997,1168.37,5.8
"Cumberland, Subd. A",1211001,3201,2.6,2107,1586,1135.55,2.8
"Colchester, Subd. A",1210012,3762,8.8,2262,1645,877.35,4.3
"Colchester, Subd. B",1210008,19806,1.4,9836,8700,1248.24,15.9
Truro,1210006,12954,5.7,6658,6347,37.52,345.3
Millbrook 27,1210003,921,7.1,364,331,3.65,252.1
Stewiacke,1210002,1557,13.4,739,713,17.62,88.4
"Colchester, Subd. C",1210001,12476,-4.7,5779,5320,1443.12,8.6
Wallace Hills 14A,1209800,15,50,3,3,0.44,34.2
Sheet Harbour 36,1209038,10,-60,7,5,0.5,20
Beaver Lake 17,1209037,20,-4.8,6,6,0.83,24
Halifax,1209034,439819,9.1,200473,190512,5475.57,80.3
Cole Harbour 30,1209019,208,2.5,130,124,0.19,1106.4
Indian Brook 14,1208014,2739,151.5,1124,1101,12.15,225.5
East Hants,1208008,22892,2,10046,9387,1786.53,12.8
West Hants,1208003,19509,2.6,9136,8374,1250.5,15.6
Glooscap 35,1207027,111,37,52,42,1.71,64.9
Wolfville,1207024,5057,20.5,2856,2441,6.46,783.3
"Kings, Subd. D",1207021,5264,0.9,2591,2292,264.86,19.9
"Kings, Subd. B",1207016,11951,0.8,5704,5187,346.02,34.5
Kentville,1207012,6630,5.7,3090,2956,17.08,388.2
"Kings, Subd. C",1207011,8348,3.2,3952,3793,243.95,34.2
Berwick,1207004,2455,-2.2,1080,1044,6.53,375.8
Annapolis Valley First Nation,1207002,743,430.7,330,322,0.65,1148.6
"Kings, Subd. A",1207001,22355,0.5,10711,9461,1233.05,18.1
New Ross 20,1206016,0,,0,0,4.05,0
Pennal 19,1206014,30,11.1,9,9,0.44,67.5
Gold River 21,1206011,81,-14.7,34,33,2.79,29.1
Chester,1206009,10693,3.7,6482,5028,1120.61,9.5
Mahone Bay,1206008,1064,2.7,599,522,3.12,341.4
Lunenburg,1206006,2396,5.9,1242,1089,4.04,593.3
Bridgewater,1206004,8790,3,4493,4260,13.63,644.9
Lunenburg,1206001,25545,2.7,14233,11502,1757.79,14.5
Middleton,1205016,1873,2.2,977,922,5.55,337.3
"Annapolis, Subd. C",1205014,5218,5.5,2516,2300,206.51,25.3
"Annapolis, Subd. B",1205009,4587,3.1,2353,2060,377.16,12.2
Annapolis Royal,1205008,530,7.9,364,322,1.98,268.3
Bear River 6B,1205006,15,-6.3,3,3,0.24,62
"Annapolis, Subd. A",1205004,5980,1.9,3435,2881,612.44,9.8
Bear River (Part) 6,1205002,0,,0,0,3.1,0
"Annapolis, Subd. D",1205001,3049,1.9,1964,1367,1976.25,1.5
Wildcat 12,1204015,49,69,16,15,4.74,10.3
Queens,1204010,10422,1.2,6676,4977,2387.52,4.4
Ponhook Lake 10,1204009,15,0,6,6,1.11,13.5
Medway River 11,1204001,15,200,7,7,0.06,239.2
Bear River (Part) 6,1203009,141,2.2,56,53,3.4,41.5
Digby,1203006,2001,-2.9,1133,1030,3.16,634
Digby,1203004,7242,1.9,4099,3427,1654.59,4.4
Clare,1203001,7678,-4.2,4393,3607,851.14,9
Yarmouth 33,1202040,181,15.3,70,69,0.31,579
Yarmouth,1202006,6829,4.8,3569,3259,10.57,646.3
Yarmouth,1202004,10067,2.3,5072,4430,584.69,17.2
Argyle,1202001,7870,-0.4,3818,3455,1526.07,5.2
Lockeport,1201009,476,-10.4,307,234,2.32,205.4
Shelburne,1201008,1644,-5.7,917,794,8.75,187.9
Shelburne,1201006,4336,1.1,2735,2059,1816.71,2.4
Clark's Harbour,1201004,725,-4.4,399,362,2.82,257.3
Barrington,1201001,6523,-1.9,3546,3024,631.98,10.3
Victoria,1103068,87,4.8,50,35,7.07,12.3
"Kensington, Part 1",1103067,3090,-2.5,1369,1236,155.16,19.9
West Point,1103066,235,1.7,146,101,28.08,8.4
O'Leary,1103065,2566,7.2,1256,1032,375.5,6.8
Alberton,1103064,2230,3,1210,904,157.28,14.2
Miminegash,1103063,1089,-3.3,527,456,100.17,10.9
Miminegash,1103062,148,0,74,66,1.88,78.5
Tignish,1103061,1800,-0.7,822,695,104.43,17.2
Tignish Shore,1103060,64,1.6,45,28,1.65,38.7
Tignish,1103059,744,3.5,368,348,5.87,126.7
St. Louis,1103057,69,4.5,35,33,0.68,100.8
Greenmount-Montrose,1103055,262,-10.3,127,102,26.03,10.1
St. Felix,1103053,314,-3.4,134,127,11.54,27.2
Alberton,1103052,1301,13.6,595,558,4.7,277
Northport,1103050,157,-15.6,79,74,1.73,90.9
Central Prince,1103043,1129,7.1,529,459,133.78,8.4
O'Leary,1103042,876,7.5,402,373,1.83,479
Miscouche,1103040,849,3.7,411,341,85.54,9.9
Lot 11 and Area,1103039,617,-3.4,318,256,102.61,6
Lennox Island 1,1103035,308,-4.6,115,110,5.59,55.1
Tyne Valley,1103033,229,-8,99,92,1.94,118.1
Wellington,1103029,414,-0.2,211,197,1.7,244.1
Abram-Village,1103027,340,13.3,155,145,1.36,250
Summerside,1103025,16001,7.8,7393,7097,28.21,567.2
Miscouche,1103024,992,13.6,401,386,3.49,284.1
Linkletter,1103023,315,5,137,129,7.88,40
St. Nicholas,1103022,218,2.3,107,88,20.73,10.5
Tyne Valley,1103021,669,7.4,334,260,87.63,7.6
Wellington,1103020,1811,-3.4,1050,780,172.1,10.5
Sherbrooke,1103018,178,11.9,98,76,8.94,19.9
Bedeque and Area,1103015,311,3,132,123,2.26,137.5
Kensington,1103014,1812,11.9,897,865,3.17,571.6
Kinkora,1103008,388,15.5,169,161,3.97,97.8
Malpeque Bay,1103007,1191,15.6,991,520,98.97,12
Borden-Carleton,1103005,788,8.8,365,324,12.94,60.9
"Crapaud, Part 2",1103004,548,17.1,336,223,51.68,10.6
Kinkora,1103003,1285,-1.2,879,542,134.13,9.6
Borden,1103002,809,13.8,410,318,54.07,15
Cornwall,1102085,6574,22.9,2770,2642,28.21,233
Stratford,1102080,10927,12.5,4667,4307,22.67,482
Charlottetown,1102075,38809,7.5,18364,17184,44.27,876.6
North Shore,1102073,1475,4.9,586,554,48.27,30.6
North River,1102072,157,17.2,66,61,17.19,9.1
New London,1102071,1521,15.1,1134,635,94.72,16.1
Warren Grove,1102070,374,8.1,141,137,10.16,36.8
Winsloe North,1102069,337,26.7,135,126,11.58,29.1
West River,1102068,3473,11.7,1774,1351,121.62,28.6
North Shore,1102067,2500,16.2,1358,981,71.13,35.1
"Kensington, Part 2",1102066,549,20.1,277,217,51.27,10.7
"East River, Part 1",1102064,2307,10.6,1170,913,211.17,10.9
York,1102061,387,-6.5,163,154,12.27,31.5
Mount Stewart,1102059,226,8.1,118,107,1.52,148.7
Scotchfort 4,1102057,230,15,75,71,1.43,161
Brackley,1102055,586,-1.7,240,234,18.75,31.3
Breadalbane,1102051,170,1.8,74,68,12.67,13.4
Union Road,1102050,213,4.4,82,78,10.33,20.6
North Rustico,1102046,648,5,386,321,2.64,245.7
"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",1102045,359,12.9,330,149,36.1,9.9
Hunter River,1102043,390,9.6,170,164,6.04,64.5
Miltonvale Park,1102040,1196,3.3,501,484,35.13,34
Clyde River,1102037,614,-6,271,252,15.93,38.5
Darlington,1102035,99,10,45,40,7.72,12.8
Crapaud,1102034,361,13.2,158,136,2.1,172.3
Victoria,1102032,139,87.8,84,59,1.44,96.5
Rocky Point 3,1102030,47,-7.8,18,18,0.04,1108.5
Kingston,1102022,1111,6.1,412,395,48.38,23
Hampshire,1102021,339,-5.6,136,129,13.52,25.1
North Wiltshire,1102020,176,-12.9,73,71,12.43,14.2
North Rustico,1102019,327,25.8,200,150,6.56,49.9
"Crapaud, Part 1",1102018,1564,-1.8,963,658,152.45,10.3
New Glasgow,1102017,4277,10.9,2107,1710,256.13,16.7
Vernon River,1102016,2499,10.8,971,887,221.94,11.3
Johnstons River,1102015,371,13.5,172,149,9.45,39.3
Alexandra,1102013,252,23.5,97,94,10.35,24.3
Hazelbrook,1102011,220,14,91,84,8.09,27.2
Crossroads,1102010,1859,6.5,757,709,53.3,34.9
Montague,1102005,74,-7.5,40,29,30.21,2.4
"Murray River, Part 2",1102003,346,50.4,63,50,38.87,8.9
Belfast,1102002,1687,3.1,971,674,229.27,7.4
"East River, Part 2",1101052,575,18.1,308,223,74.64,7.7
Morell 2,1101050,25,13.6,9,9,0.78,31.9
Morell,1101048,269,-9.4,131,119,1.49,180.3
Three Rivers,1101045,7883,10,3936,3246,431.47,18.3
St. Peters Bay,1101044,231,-2.5,130,111,4.44,52
Morell,1101043,1209,7.4,830,517,155.29,7.8
Eastern Kings,1101040,687,-1.6,499,294,141.12,4.9
St. Peters,1101037,686,1.5,428,297,183.44,3.7
Souris,1101036,1079,2.5,533,480,3.61,299
Souris,1101035,1766,-0.6,1030,742,272.55,6.5
Souris West,1101033,379,5,227,159,7.73,49
Annandale - Little Pond - Howe Bay,1101030,223,7.7,169,92,31.87,7
Central Kings,1101027,386,10.6,176,155,72.94,5.3
Central Kings,1101025,135,37.8,56,51,33.02,4.1
Cardigan,1101020,125,0.8,54,48,50.18,2.5
"Murray River, Part 1",1101005,1422,3.6,700,573,174.78,8.1
Murray River,1101004,337,10.9,182,156,1.54,218.5
Murray Harbour,1101003,628,16.3,364,259,42.77,14.7
Murray Harbour,1101002,282,9.3,186,147,3.9,72.3
"Division No. 11, Subd. E",1011040,0,,0,0,40487.59,0
Nain,1011035,847,-24.7,266,245,93.5,9.1
Hopedale,1011030,596,3.8,208,193,2.18,273.7
Makkovik,1011020,365,-3.2,154,142,2.95,123.5
Postville,1011015,188,6.2,83,75,2.39,78.7
Rigolet,1011010,327,7.2,134,125,5.27,62
"Division No. 11, Subd. C",1011005,0,,0,0,26193.25,0
